Authors,Title,Source title,Link,Abstract
"Könnölä T., Eloranta V., Turunen T., Salo A.",Transformative governance of innovation ecosystems,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113412349&doi=10.1016%2fj.techfore.2021.121106&partnerID=40&md5=dab43404e612599a7ddfa8014bb8e791,"Transformative innovation policy has recently emerged at the intersection of innovation and socio-technical transition research. It has provided valuable heuristics to guide policy; but it has also led to the recognition of major challenges in the management of uncertainty and complexity. In this paper, we address these challenges by linking transformative innovation policy with research perspectives from (i) complex adaptive systems, (ii) ecosystems, and (iii) adaptive and participatory governance. Specifically, we develop a conceptual framework for transformative governance, which seeks to improve the adaptiveness and resilience of the ecosystem and orchestrates socio-technical transformation based on the balanced presence of diversity, connectivity, polycentricity, redundancy and directionality. We also present an illustrative example by applying the framework to a Finnish policy reform in which the lack of balanced attention to the ecosystem features catalysed major shortcomings in an emerging innovation mobility ecosystem. Finally, we explore the implications for the design of individual policies and policy mixes which arise from the recognition of complexity and the holistic policy impacts on the ecosystem and society at large."
"Caselli M., Fracasso A., Traverso S.",Robots and risk of COVID-19 workplace contagion: Evidence from Italy,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112391735&doi=10.1016%2fj.techfore.2021.121097&partnerID=40&md5=7f30d743c59f214a2956b587e418edbf,"This work investigates the cross-industry relationship between robot adoption and the risk of contracting COVID-19 in the workplace in Italy. Using a novel dataset on the risk of workplace contagion, we show that industries employing more robots tend to exhibit lower risks, thereby providing some empirical support for the widely held, but so far untested, hypothesis that robots can help mitigate the risk of contagion among workers by reducing the need for physical interactions. While we acknowledge the relevance of robots in the fight against COVID-19 and their possible role in enhancing the resilience of economic systems against future pandemics, we also thoroughly discuss a series of potential trade-offs between workplace safety and employment conditions that could arise (especially in the short run) due to a substantial increase in the rate of robot adoption."
Dimitriadis S.,Social capital and entrepreneur resilience: Entrepreneur performance during violent protests in Togo,Strategic Management Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105503963&doi=10.1002%2fsmj.3292&partnerID=40&md5=c28d1390b5456298a1714ab23388b66c,"Research Summary: This study explores how entrepreneurs' social capital affects their resilience to localized shocks. Using a unique longitudinal survey of entrepreneurs during a surge of violent protests in Togo during 2017 and 2018, I explore how different kinds of relationships affect entrepreneurs' performance. Results show that proximity to violent protests caused entrepreneurs' profits to drop by 20%. This decrease, however, was mitigated by entrepreneurs' ties to their local communities and by their non-colocated advice relationships, which were ties to geographically distant advisers. In contrast, colocated advisers, those who were spatially proximate, were harmful to their performance. These findings show that social capital can have conflicting effects on entrepreneurs' resilience, depending on the kinds of relationships they consist of and how those relationships are exposed to the shock. Managerial Summary: Relationships are critical to entrepreneurs' performance. Yet, during local crises, such as violent protests, it can be difficult to know which relationships to rely on. Studying entrepreneurs in Togo during a sudden surge of violent protests, I found that two kinds of relationships reduced the negative impact of the localized shock: ties to local communities and advisers located outside the crisis area. In contrast, advisers located nearby, who were also affected by the crisis, amplified the protests' negative effects. These findings suggest that entrepreneurs who can afford to build stronger ties to their local communities and have more distant advisers may be better positioned to minimize losses during localized shocks."
"Dennehy D., Oredo J., Spanaki K., Despoudi S., Fitzgibbon M.",Supply chain resilience in mindful humanitarian aid organizations: the role of big data analytics,International Journal of Operations and Production Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112076256&doi=10.1108%2fIJOPM-12-2020-0871&partnerID=40&md5=fad7ef0a7bcf68179c18df1e3aa0c44c,"Purpose: The purpose of this paper is to understand the nomological network of associations between collective mindfulness and big data analytics in fostering resilient humanitarian relief supply chains. Design/methodology/approach: The authors conceptualize a research model grounded in literature and test the hypotheses using survey data collected from informants at humanitarian aid organizations in Africa and Europe. Findings: The findings demonstrate that organizational mindfulness is key to enabling resilient humanitarian relief supply chains, as opposed to just big data analytics. Originality/value: This is the first study to examine organizational mindfulness and big data analytics in the context of humanitarian relief supply chains."
Khan A.N.,A diary study of psychological effects of misinformation and COVID-19 Threat on work engagement of working from home employees,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108645282&doi=10.1016%2fj.techfore.2021.120968&partnerID=40&md5=ef1e7324ae99ee2fac0e7d826d7698ff,"Since the COVID -19 pandemic, the open literature presents plenty of discussions on how individuals have adopted being forced to work from home (WFH). Nevertheless, there hasn't been much information on how individuals perceive WFM is affecting their daily work routine in the pandemic. By applying the stressors-strain-outcome (SSO) framework, the current study develops and tests a model that explains how misinformation and COVID-19 threat triggered the anxiety and social media fatigue of WFH employees and affected their work-related response. This study collected diary data for ten consecutive days from 56 WFH employees. Results widely supported the hypothesized model. Specifically, findings revealed that misinformation and COVID-19 threat increase anxiety and social media fatigue among these employees, resulting in a lower level of work engagement. This study also found that resilience as a coping mechanism reduces the adverse effects of anxiety on work engagement. The results have significant, timely implications for policy and research."
"Abushaikha I., Wu Z., Khoury T.A.",Towards a theory of informal supply networks: An exploratory case study of the Za'atari refugee camp,Journal of Operations Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107578229&doi=10.1002%2fjoom.1151&partnerID=40&md5=dfc5811f1eca95b243ef4d590caefd5c,"Studies of humanitarian supply chain operations contribute to efficient system designs for the delivery of goods and services to disaster- and conflict-stricken regions. However, our understanding of what happens to these relief goods and services after they are delivered is quite limited. Using a case study of the Za'atari refugee camp in Jordan, we develop a theory of informal supply networks, whereby we uncover how refugee-led, informal supply networks emerge in the camp. We find that these supply networks are an aggregate of predominantly illicit—yet legitimate—channels and social relationships that support the economic exchange of goods and services between distinct actors or actor groups. We not only identify the cultural conventions and behavioral codes that govern ties between refugees—and between refugees and relief-related actors—but also define how these networks are configured. Considering these findings, we contend that the informal economic activities emanating from the refugee camp benefit the host community and enhance the resilience of the informal supply networks. As informal economic activities also improve the quality of life in the camp, camp authorities and host country governments should attend to informal activities as they create rules and policies for refugee resettlement."
"Burt R.S., Soda G.",Network Capabilities: Brokerage as a Bridge Between Network Theory and the Resource-Based View of the Firm,Journal of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100542883&doi=10.1177%2f0149206320988764&partnerID=40&md5=9a690c209643a3827653dea3e767527c,"We accomplish three tasks here: (a) We highlight the lack of cross-fertilization between research on network theory and the resource-based view of the firm (RBV). (b) We sketch by analogy what we believe should be a productive bridge between network brokerage as a core concept in network theory and integrating resources as a core concept in RBV. (c) Network brokerage quickly introduced, we distinguish and illustrate three levels to the proposed network-RBV analogy: tight integration of resources (closed networks for learning-curve efficiency), loose integration of resources (brokered clusters for resilience to market vicissitudes), and recombinatory integration of resources (broker leadership for innovation and robust response to market shock)."
Kim S.,Frame Restructuration: The Making of an Alternative Business Incubator amid Detroit’s Crisis,Administrative Science Quarterly,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099215601&doi=10.1177%2f0001839220986464&partnerID=40&md5=e5a5ec987a4f09b3a6206824ffd0438a,"Adaptive responses to crisis rely on effective cognitive frames: understanding what is going on amid unfolding crisis and what should be done to address it. Research has shown that failing to drop a routine cognitive frame exacerbates crises, while nimbly adopting a novel frame enhances resilience. This suggests that actors in crisis have an urgent dual mission: to simultaneously destroy and construct frames. Existing research offers little guidance on how actors can accomplish this in the midst of their struggles to survive threatening and disruptive circumstances. I address this shortcoming by drawing from a 22-month ethnography of a Detroit business incubator, analyzing how it gradually developed a novel diagnostic and prognostic frame of the city’s unfolding crisis. I propose and show that actors amid crisis construct a novel frame—while dismantling an old one—through a process of frame restructuration: the novel frame emerges from and co-evolves with unconventional actions that pragmatically address the exigencies of the crisis. Mutual constitution between pragmatic actions and the emergent frame can be critically propelled by the use of metaphor, which helps actors instantly reframe the context."
"Hinge G., Surampalli R.Y., Goyal M.K., Gupta B.B., Chang X.",Soil carbon and its associate resilience using big data analytics: For food Security and environmental management,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105485893&doi=10.1016%2fj.techfore.2021.120823&partnerID=40&md5=e1bc6347224c96027e8ee10ad465af36,"Soils are a binding site for carbon storage. Climatic variables, namely precipitation, and temperature are regarded as the primary factors controlling soil organic carbon (SOC) storage; however, no consensus has been made about the magnitude and direction that changes in climatic variables may have on SOC. Based on copula theory, the present study investigates the soil carbon dynamics and the likelihood of SOC occurrence under varying climatic conditions across India's 14 agro-climatic zones. Results demonstrate the possibility of occurrence of SOC under both low and high temperature/precipitation conditions. It was found that the SOC of agro-climatic zones situated in semi-arid and arid regions are more sensitive to changes in climatic variables compared to that of the others. We then quantify the soil resilience of the agro-climatic zones based on the amount of SOC content. Results showed that only 1/3 of India's agro-climatic zones were resilient during the study period (1985–2005). Thus, the study's findings facilitate the identification of India's most sensitive agro-climatic zone for soil carbon management and climate-related policy. It stresses the need for big data assimilation to identify site-specific management practices that can facilitate soil health and improve the country's soil resilient capacity for food security and environmental management."
"Ding W., Levine R., Lin C., Xie W.",Corporate immunity to the COVID-19 pandemic,Journal of Financial Economics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103402520&doi=10.1016%2fj.jfineco.2021.03.005&partnerID=40&md5=dbea9b80892319122082b6f3f57331e3,"We evaluate the connection between corporate characteristics and the reaction of stock returns to COVID-19 cases using data on more than 6,700 firms across 61 economies. The pandemic-induced drop in stock returns was milder among firms with stronger pre-2020 finances (more cash and undrawn credit, less total and short-term debt, and larger profits), less exposure to COVID-19 through global supply chains and customer locations, more corporate social responsibility activities, and less entrenched executives. Furthermore, the stock returns of firms controlled by families (especially through direct holdings and with non-family managers), large corporations, and governments performed better, and those with greater ownership by hedge funds and other asset management companies performed worse. Stock markets positively price small amounts of managerial ownership but negatively price high levels of managerial ownership during the pandemic."
"Berg T., Saunders A., Schäfer L., Steffen S.",Brexit and the contraction of syndicated lending,Journal of Financial Economics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103553404&doi=10.1016%2fj.jfineco.2021.03.009&partnerID=40&md5=e92562d3a9d35047cb93d5c069255bc6,"We document a 24% decline in loan issuances in the UK syndicated loan market after the Brexit vote relative to a set of comparable loan markets. The decline in lending is driven by a pervasive reduction in demand by UK firms. Changes in GDP forecast around the Brexit vote explain about 61% of the decline in lending. We do not find evidence, however, that the United Kingdom loses its attractiveness as a financial center for cross-border lending. Our results point to the resilience of global financial centers in the face of large unexpected shocks."
"Tortorella G.L., Saurin T.A., Fogliatto F.S., Rosa V.M., Tonetto L.M., Magrabi F.",Impacts of Healthcare 4.0 digital technologies on the resilience of hospitals,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100477542&doi=10.1016%2fj.techfore.2021.120666&partnerID=40&md5=8eca4f70949b2548fba2cdbac8676e77,"Healthcare 4.0 (H4.0) adapts principles and applications from the Industry 4.0 movement to healthcare, enabling real-time customization of care to patients and professionals. As such, H4.0 can potentially support resilient performance in healthcare systems, which refers to their adaptive capacity to cope with complexity. This paper explores the impact of ten H4.0 digital technologies on four abilities of resilient systems (monitor, anticipate, respond, and learn) in the context of hospitals. For that, we conducted a survey with 109 resilient healthcare and H4.0 experts from both emerging and developed economies. The collected data were analyzed using univariate and multivariate statistical techniques. Our findings indicate four H4.0 digital technologies that have a strong impact on the four resilience abilities: remote consultations and development of plan of care in real time; digital non-invasive care; interconnected medical emergency support; and digital platforms for collaborative sharing of patient data and information. These technologies can reduce over-reliance on human adaptive skills while at the same time offering new and expanded opportunities for resilient performance in healthcare."
"Bonnín Roca J., Vaishnav P., Morgan G.M., Fuchs E., Mendonça J.",Technology Forgiveness: Why emerging technologies differ in their resilience to institutional instability,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099696758&doi=10.1016%2fj.techfore.2021.120599&partnerID=40&md5=32ee30cd61c2e1c4ab86e713775c052d,"Long-term public support may encourage the diffusion of emerging technologies by coordinating the generation of knowledge and providing patient funding, but unexpected policy changes may hinder private investment and even lead to situations of technology lockout. Leveraging archival data; insights from 45 interviews across academia, industry, and government; and 75 hours of participant observations, we develop insights about why institutional instability in Portugal affected the adoption of Polymer Additive Manufacturing (PAM) and Metal Additive Manufacturing (MAM) differently. In both cases, Portugal invested in the technology relatively early. While PAM has been widely adopted, including increasingly in high-tech applications, MAM adoption has been modest despite MAM's potential to greatly improve the performance and competitiveness of metal molds. From the comparison between PAM and MAM, we generate theory about technological and contextual factors that affect ‘technological forgiveness’, defined as the resilience of a new technology's adoption to institutional instability."
"Regner T., Crosetto P.",The long-term effects of self pledging in reward crowdfunding,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098996359&doi=10.1016%2fj.techfore.2020.120514&partnerID=40&md5=8f740fe78ff4e8d6e50ae6e2f54cde54,"Crowdfunding recently emerged as an alternative funding channel for start-ups, creative artists and social endeavors. While it succeeded in establishing itself as a major player in entrepreneurial finance, its rather informal setup sparked concerns about its resilience to exploitative behavior by project creators. In this paper we explore one form of such opportunistic behavior: self pledging and its potential effect on the post-campaign development of crowdfunded projects. If project creators use own funds to reach the funding target in order to collect the crowd's funds, they end up with less fresh capital than needed, and might hence face problems in delivering on the promises made. Most reward crowdfunding platforms explicitly prohibit self pledges. Startnext, the biggest German platform, allows them. We exploit Startnext data to shed light on effects of self funding on post-campaign performance. We single out 140 substantially self-funded projects, and, by propensity score matching, a corresponding sample of 140 projects that did not receive any self pledges. For each of these projects we collect information about the project development three or more years after their campaigns ended. Projects may have failed to deliver, have run into severe delays, have delivered but then disappeared, or might have given rise to recurring events or led to the founding of a company/organization. Results indicate no structural long-term impact of substantial self funding."
"Kumar N., Poonia V., Gupta B.B., Goyal M.K.",A novel framework for risk assessment and resilience of critical infrastructure towards climate change,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098949838&doi=10.1016%2fj.techfore.2020.120532&partnerID=40&md5=36220abb4faa588911186d2d6796a960,"The persistent extreme weather events (floods, droughts, heatwaves, etc.) are increasing the risks towards critical infrastructure (C.I). Therefore, it is essential to enhance the resilience of our C.I to withstand such events in the present and future. Here, a review of current and projected impacts of climate change is conducted on extreme events and on possible implications on C.I is carried out, which suggests that such events can have a severe impact on C.Is. Also, two studies on the behaviour of precipitation extremes and temporal evolution of drought across India are carried out, taking into account the corresponding impacts on C.Is. It indicated that north-western, north-eastern westernmost regions and western Ghats are highly susceptible to floods and northern, central-eastern, western, and central regions are prone towards co-occurrence of floods and droughts. Also, a case study on Kharif paddy yield forecasting using different machine learning (ML) models is carried out, where the random forest was found to be the most suitable model for yield prediction. Finally, we put forward a robust framework for risk assessment and improving the resilience of C.Is based upon the principles of flexibility, diversity, and industrial ecology, incorporating both short-term and long-term impacts of climate risk."
"Xie H., Huang Y., Choi Y., Shi J.",Evaluating the sustainable intensification of cultivated land use based on emergy analysis,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096044793&doi=10.1016%2fj.techfore.2020.120449&partnerID=40&md5=977e077dd4d54cabdbff34eca0ad1f85,"Sustainable intensification provides a new research paradigm for coordinating the trade-offs between food demand and resource and environmental constraints. The sustainable intensification of cultivated land use can be seen as the material and energy processes required to sustain the land output functions and land use activities. In the present study, we used emergy analysis to describe the input-output flow of Ruijin's cultivated land use processes to assess its level of sustainable intensification. In terms of input and output, the net loss of topsoil through cultivated land use is 1.75 times the resilience of the cultivated land system, which places tremendous pressure on cultivated land protection. In 2017, compared to 2010, the output emergy of agricultural products decreased by 16.52%, and the emergy of waste emissions increased by 4.24%. The continuous increase in agricultural waste discharge requires agricultural managers to improve the input of production factors through soil testing and formula fertilization and to optimize their planting structure to adjust the intensity of cultivated land use. The government's ecological protection requirements can alleviate environmental pressure and waste discharge, and land managers can sustainably intensify cultivated land use by carefully planning the spatial layout of agricultural production."
"Sajko M., Boone C., Buyl T.","CEO Greed, Corporate Social Responsibility, and Organizational Resilience to Systemic Shocks",Journal of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079423598&doi=10.1177%2f0149206320902528&partnerID=40&md5=712cb204767c98d6efb52858d5f42684,"In this study, we explore how top executives affect the well-being of multiple stakeholders and long-run organizational outcomes. In the context of the 2008 global financial crisis (GFC), we examine how CEO greed impacts firms’ stance toward corporate social responsibility (CSR) prior to the onset of the GFC and how this, in turn, shapes firms’ fate during and after the GFC. We argue that CEO greed will be negatively associated with CSR, because in their unbridled pursuit of personal wealth, greedy CEOs are more likely to exhibit myopic behaviors and neglect investment in CSR. We also adopt a person-pay interactionist logic to theorize that the willingness of greedy executives to invest in CSR will be especially sensitive to different types of pay instruments. Next, we build on recent findings from research on CSR that suggest that stakeholder engagement is a defining feature of resilient organizations. We expect that, due to low CSR investment, firms led by greedy CEOs will experience greater losses in the short run and will take longer time to recover from the 2008 GFC. For a sample of 301 CEOs of public U.S. organizations, we analyzed the stock prices and found general support for our hypotheses."
"Engel Y., Noordijk S., Spoelder A., van Gelderen M.",Self-Compassion When Coping With Venture Obstacles: Loving-Kindness Meditation and Entrepreneurial Fear of Failure,Entrepreneurship: Theory and Practice,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076211493&doi=10.1177%2f1042258719890991&partnerID=40&md5=db23317b95e6737520ebb9d1538bdc53,"Entrepreneurial fear of failure is a ubiquitous yet aversive experience with critical implications for entrepreneurial action and well-being. To understand how entrepreneurs can effectively cope with fear-inducing obstacles, we hypothesize and experimentally test the extent to which self-compassion, cultivated through Loving-Kindness Meditation (LKM), counteracts entrepreneurs’ fear of failure when facing a threatening venture obstacle. Compared to an active control group, entrepreneurs exposed to a brief guided LKM showed higher self-compassion, which, in turn, was associated with lower fear reactivity. We offer novel contributions to entrepreneurship theory and practice by highlighting the role of meditation and self-compassion in building entrepreneurial resilience."
"Ahn S.-J., Yi S.-K.",Methodological framework for analyzing peace engineering: Focusing on Kaesong Industrial Complex and North Korean innovators in South Korea,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097161054&doi=10.1016%2fj.techfore.2020.120464&partnerID=40&md5=9e5f3b220849b74d58939c57e14850df,"This study explores two hypotheses, inspired by peace tourism, to study innovation for peace: “innovation brings peace” and “peace brings innovation.” With respect to the first, the event history analysis of Kaesong Industrial Complex reveals that innovation helps maintain peace by slowing the pace of confrontation. As regards the second, a survey on North Korean innovators in the South unveils the importance of innovator's self-esteem. Causal relationship analysis has shown that the loop structures of innovation in the two cases is involved in sustaining peace. This implies that the problems between the two Koreas can be classified as an “interactive problem.” Our findings suggest that the research on peace engineering can benefit from the existing studies on peace tourism, that problem-oriented innovation systems (PIS) can present a methodological breakthrough, and that the divided Korean peninsula can provide excellent data for case studies. In addition, a methodological framework for analyzing peace engineering was proposed through discussions with peace tourism, PIS, and the theory of socio-technical system. Although this study does not offer the final answer on which is a bigger priority: innovation or peace, our findings will be a good reference for future study of innovation for peace."
"Belhadi A., Kamble S., Jabbour C.J.C., Gunasekaran A., Ndubisi N.O., Venkatesh M.",Manufacturing and service supply chain resilience to the COVID-19 outbreak: Lessons learned from the automobile and airline industries,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096026780&doi=10.1016%2fj.techfore.2020.120447&partnerID=40&md5=5ff0dcd661c934be87638f381e99a030,"There has been an increased interest among scholars to investigate supply chain resilience (SCRes) in manufacturing and service operations during emerging situations. Grounded in the SCRes theory, this study provides insights into the impact of the COVID-19 outbreak on the automobile and airline supply chain. Both the short and long-term response strategies adopted by the two supply chains are assessed, using a combination of qualitative and quantitative techniques in three distinct phases. In phase one, we use a sequential mixed-method for resilience evaluation, integrating Time-to-Recovery (TTR) and Financial Impact (FI) analysis. In phase two, we conduct an empirical survey involving 145 firms to evaluate the short-term SCRes response strategies. In the third phase, we conduct semi-structured interviews with supply chain executives both from the automobile and airline industries to understand the long-term SCRes response strategies. Our findings indicate that: (i) the automobile industry perceived that the best strategies to mitigate risks related to COVID-19, were to develop localized supply sources and use advanced industry 4.0 (I4.0) technologies. (ii) The airline industry on the other hand, perceived that the immediate need was to get ready for business continuity challenges posed by COVID-19, by defining their operations both at the airports and within the flights. (iii) Importantly, both the sectors perceived Big Data Analytics (BDA) to play a significant role by providing real-time information on various supply chain activities to overcome the challenges posed by COVID-19. (iv) Cooperation among supply chain stakeholders is perceived, as needed to overcome the challenges of the pandemic, and to accelerate the use of digital technologies."
Sarkis J.,Supply chain sustainability: learning from the COVID-19 pandemic,International Journal of Operations and Production Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097066951&doi=10.1108%2fIJOPM-08-2020-0568&partnerID=40&md5=cbf35743ecb1a104c1e05bf9d4378ec7,"Purpose: This paper, a pathway, aims to provide research guidance for investigating sustainability in supply chains in a post-COVID-19 environment. Design/methodology/approach: Published literature, personal research experience, insights from virtual open forums and practitioner interviews inform this study. Findings: COVID-19 pandemic events and responses are unprecedented to modern operations and supply chains. Scholars and practitioners seek to make sense of how this event will make us revisit basic scholarly notions and ontology. Sustainability implications exist. Short-term environmental sustainability gains occur, while long-term effects are still uncertain and require research. Sustainability and resilience are complements and jointly require investigation. Research limitations/implications: The COVID-19 crisis is emerging and evolving. It is not clear whether short-term changes and responses will result in a new “normal.” Adjustment to current theories or new theoretical developments may be necessary. This pathway article only starts the conservation – many additional sustainability issues do arise and cannot be covered in one essay. Practical implications: Organizations have faced a major shock during this crisis. Environmental sustainability practices can help organizations manage in this and future competitive contexts. Social implications: Broad economic, operational, social and ecological-environmental sustainability implications are included – although the focus is on environmental sustainability. Emergent organizational, consumer, policy and supply chain behaviors are identified. Originality/value: The authors take an operations and supply chain environmental sustainability perspective to COVID-19 pandemic implications; with sustainable representing the triple bottom-line dimensions of environmental, social and economic sustainability; with a special focus on environmental sustainability. Substantial open questions for investigation are identified. This paper sets the stage for research requiring rethinking of some previous tenets and ontologies."
"FitzGerald C., Hameed T., Rosenbach F., Macdonald J.R., Dixon R.",Resilience in public service partnerships: evidence from the UK Life Chances Fund,Public Management Review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121719974&doi=10.1080%2f14719037.2021.2015186&partnerID=40&md5=041fec1284a37e4e14fb08a1318b6760,"This paper explores functional and structural resilience in outcomes-based public service partnerships. Using a theoretical framework informed by socio-ecological and health fields, and data from all thirty-one social impact bonds (SIBs) funded through the UK government’s Life Chances Fund, we explore how SIBs adapted service delivery and funding mechanisms in response to Covid-19. Human factors supported service continuity and adaptation, indicating the presence of functional resilience. Evidence of structural resilience was mixed, highlighting the importance of clear governance roles for determining structural changes during a crisis. Implications for an increasingly networked and partnership-based public service sector are discussed."
"Liu K., Fu K., Yang J.Y., Al Asady A.",A System Justification Theory of Entrepreneurial Attitudinal Change During a Crisis,Entrepreneurship: Theory and Practice,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121547126&doi=10.1177%2f10422587211058363&partnerID=40&md5=04ae79d5224309f77096dce60374c6e1,"Entrepreneurship resilience during a crisis is an important research area. However, prior research has not examined cognitive antecedents of entrepreneurial resilience. Using the 2014 oil price crisis in the Middle East as a natural experiment, we draw on system justification theory to understand why and how entrepreneurs differ in the extent of their attitudinal changes toward corruption. We find foreign entrepreneurs substantially increased their willingness to engage in corruption whereas local entrepreneurs did not. Among foreign entrepreneurs, corruption willingness increases more among those from countries where corruption is not the norm, than those from more corrupt home countries."
"Branzei O., Fathallah R.",The End of Resilience? Managing Vulnerability Through Temporal Resourcing and Resisting,Entrepreneurship: Theory and Practice,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121383202&doi=10.1177%2f10422587211053809&partnerID=40&md5=fc63c53de775c88983617dcde33f5406,"We induce a first-person conceptualization of entrepreneurial resilience. Our seven-year, two-study ethnography shows that entrepreneurs enact resilience as a four-step process of managing vulnerability: they richly experience episodes of adversity, self-monitor across episodes, reassess personal thresholds and reconcile challenges with coping skills. Entrepreneurs manage vulnerability by (1) modifying (stretching and shrinking) objective time and (2) changing their subjective experience of time as working with or against the clock through temporal resourcing or temporal resisting. We extend the theory and practice of entrepreneurial resilience by elaborating the interplay of objective and subjective time in managing vulnerability in recurrent and unprecedented crises."
"Leite H., Hodgkinson I.R.",Examining Resilience Across a Service Ecosystem under Crisis,Public Management Review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121042961&doi=10.1080%2f14719037.2021.2012375&partnerID=40&md5=91b770de4241d0b2c49e1e61f427d33a,"In the face of rising infection rates and increased healthcare demand, COVID-19 overwhelmed healthcare systems. System-wide change was subsequently necessary to absorb and adapt to the crisis through a new digital service‒telemedicine. The study unpacks how precursor resilience was actuated across the service ecosystem. Drawing on qualitative data from multiple healthcare actors, the study adopts oscillating foci to examine ecosystem resiliency across three levels: micro (physicians and patients), meso (healthcare managers) and macro (policymakers). Findings show the centrality of service co-design to service ecosystem resiliency, demonstrating the role of multi-actors at multi-levels for building ecosystem resilience during COVID-19 and beyond."
"Harland C.M., Knight L., Patrucco A.S., Lynch J., Telgen J., Peters E., Tátrai T., Ferk P.",Practitioners' learning about healthcare supply chain management in the COVID-19 pandemic: a public procurement perspective,International Journal of Operations and Production Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120993201&doi=10.1108%2fIJOPM-05-2021-0348&partnerID=40&md5=3668ad4c1dc2cd0543316a5ba7fc2cdc,"Purpose: The procurement and supply of crucial healthcare products in the early stages of the COVID-19 emergency were chaotic. To prepare for future crises, we must be able to describe what went wrong, and why, and map out ways to build agility and resilience. How can this be done effectively, given the highly complex and diverse network of actors across governments, care providers and supply chains, and the extreme uncertainty and dynamism in the procurement system and supplier markets? The purpose of this study was to capture learning from practitioners in “real time” in a way that could frame and inform capacity building across healthcare systems with varying procurement and supply management maturity. Design/methodology/approach: This exploratory study involved interviews with 58 senior public procurement practitioners in central and regional governments, NGOs and leaders of professional organizations from 23 countries, very early in the COVID crisis. Following the first, inductive phase of analysis leading to five descriptive dimensions, the awareness-motivation-capability (A-M-C) framework was applied in a further round of coding, to understand immediate challenges faced by procurement practitioners, how the complex, multi-level procurement system that shaped their motivations to respond and critical capabilities required to face these challenges. Findings: Developments across 23 countries and practitioners' learning about procurement and supply in the pandemic crisis can be captured in five overarching themes: governance and organization, knowledge and skills, information systems, regulation and supply base issues. Together these themes cover the strengths and gaps in procurement and supply capability encountered by procurement leaders and front-line personnel. They highlight the various facets of structure, resource and process which constitute organizational capability. However, to account better for the highly dynamic situation characterized by both unprecedented rivalry and cooperation, analysts must also pay attention to actors' emerging awareness of the situation and their rapidly changing motivations. Originality/value: The application of the A-M-C framework is unique in the healthcare supply chain and disaster management literature. It enables a comprehensive overview of healthcare procurement from a system perspective. This study shows how increasing system preparedness for future emergencies depends both on developing critical capabilities and understanding how awareness and motivation influence the effective deployment of those capabilities."
