Source title,Abstract,Authors,Title,Link
Greening of Industry Networks Studies,"Purpose: This chapter examines how the West African subregion can generate and sustain the desired value of its global supply chains from accumulated knowledge resources gained from past international trade relations with the rest of the world.Methodology: The Economic Partnership Agreement (EPA) between the European Union (EU) and Africa Caribbean Pacific regions is explored as a case study. As part of its external policies, the EU is participating in various trade agreements such as the EPA, striving towards mutual economic development. We analyse comprehensive data from the Eurostat of the European Commission and the data centre of the United Nation Conference on Trade and Development (UNCTADSTAT).Key findings: Our analysis of data reveals severe uneven trade outcomes between West Africa and the EU. Drawing on organizational learning theory, we explain how participating West African countries have hardly learned from experiences of prior trade agreements and particularly the current EPA. This has hindered export trade and industrialization and impeded sustainable growth of participating African countries in the global value chain over the years.Implications: The study discusses critical policy implications for the African Continental Free Trade Agreement (AfCFTA), which will hone Africa’s sustainable growth in the global value chain and future trade relations with the rest of the world.","Adjei-Bamfo P., Lartey E., Odoi B., Adjei-Bamfo S., Baiden E.",The Impact of the EPA on West Africa: The Mediating Role of an Intra-African Trade Policy for Africa’s Sustainable Growth in the Global Value Chain,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124521083&doi=10.1007%2f978-3-030-78791-2_12&partnerID=40&md5=339606f06b40b86a5c02def5a3c6fa63
Greening of Industry Networks Studies,"Purpose: This chapter examines how Zambian contractors and suppliers implement the sustainability requirements of multi-national buyer firms and explores how these requirements include or exclude local contractors and suppliers.Design/methodology/approach: A qualitative research approach was adopted. Data were collected using in-depth face-to-face interviews.Key findings: First, Zambian contractors and suppliers implement multi-national buyer firm’s sustainability requirements in environmental, economic or social perspectives. They hardly implement them in terms of the triple bottom perspective, including all these perspectives. Second, local contractors and suppliers mostly implement the social aspect of sustainability in their businesses. They do this mainly to comply with the buyer’s requirements rather than by their own choice. Third, multi-national buyer firm’s sustainability requirements include local firms that offer specialised goods and services as well as those they have long-term relationships with. Lastly, a number of local contractors and suppliers are excluded due to the many requirements imposed by multi-national buyer firms.Practical implications: The findings inform stakeholders such as suppliers, contractors, buyers and the government on understanding the environmental, economic and social sustainability in the global supply chain as this would encourage suppliers and contractors to be more responsible.Originality/value: This chapter contributes to the literature on how contractors and suppliers interpret the sustainability requirements of multi-national buyer firms and explores how these requirements include or exclude local contractors and suppliers in Zambia, a hardly researched Africa country.","Nakamba C.C., Choongo P., Simasiku P.L.",Multi-national Buyer Firms’ Sustainability Requirements in a Developing Economy: An Explorative Study of Zambian Contractors and Suppliers,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124568242&doi=10.1007%2f978-3-030-78791-2_7&partnerID=40&md5=d0ccdd920d8f0e33355d44c1e5930c14
Journal of Services Marketing,"Purpose: This editorial aims to identify new research priorities in the service marketplace that are emerging because of consumer and organizational trends in the shadow of the global pandemic. Design/methodology/approach: A conceptual approach is used that draws on observations from practitioners to synthesize changes in consumer values, motivations and behaviors as they pertain to service consumption, design and delivery. This editorial draws on current trends and recent service research to discuss the current state of the marketplace and to uncover areas in which research voids exist. Findings: This editorial offers ten research priorities for service researchers. These research priorities are supply chain and staffing shortages; sustainable services, older consumers embrace digital technologies; digital financial services; consumer pursuit of personal and spiritual awareness; participating in virtual communities, networks and worlds; affinity for peer-to-peer commerce; transformative places; seeking self-love services, and social distance concerns. Research limitations/implications: Academicians are provided with a series of research priorities that are interesting, timely and relevant for the new service marketplace. Practical implications: Service academicians are encouraged to pursue empirical and descriptive investigations in-line with the priorities developed in this editorial. These research priorities are relevant, timely and interesting. Originality/value: This work presents scholars with a historical overview of trends in service research. The challenges posed by the pandemic represent the beginning of a new era in service research thought and practice as many previously held theories and understandings of consumers’ marketplace behaviors have permanently changed due to behavioral changes that transpired during governmental mandated lockdowns.","Rosenbaum M.S., Russell-Bennett R., Contreras-Ramírez G.",Editorial: Research priorities in the new service marketplace,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132863545&doi=10.1108%2fJSM-06-2022-0190&partnerID=40&md5=3eaf1732d4405eccd0c6993d45011853
Innovation and Management Review,"Purpose: This exploratory research aims to analyze sustainable innovation in the context of inclusive business in Latin America. Design/methodology/approach: The study performs a summative content analysis of 22 inclusive businesses (IBs) of current Business Call to Action (BCtA) members in Latin America. Codes were created to identify the modification or introduction of sustainable products/services/processes. Data were analyzed using NVivo 12. Findings: Results show a prevalence of Colombian examples within Latin American inclusive business, and a more significant proportion in the agricultural sector, consistent with reports found in the literature. The authors found that sustainable innovation takes place when introducing new products/services/processes that respond to the needs of the bottom of the pyramid (BoP) population, or modifying existing processes and services to make them more sustainable. Originality/value: As most sustainable innovation literature is product-oriented and technically dominated, these results contribute to the newer works adopting a more comprehensive conception of innovation, providing empirical evidence at the product, service and process levels. The results provide insights on how inclusive businesses make adaptations to improve the sustainability of their supply chains to bring their products/services within reach of isolated and disadvantaged communities. The findings also suggest that sustainable product innovation in an inclusive business goes beyond a cost reduction objective. Tailored design reveals a hybrid socioeconomic goal with a high degree of local context embeddedness and precise attention to nascent specialized demand. The results could be of practical use for organizations that want to operate an inclusive business in BoP markets.",Pineda-Escobar M.A.,Sustainable innovation and inclusive business in Latin America,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127204244&doi=10.1108%2fINMR-07-2021-0116&partnerID=40&md5=f5952d072f6fb3fdd09ab8aaf51446f3
"Sustainability Accounting, Management and Policy Journal","Purpose: This paper aims to address the conceptual and practical challenges in integrating triple bottom line (TBL) sustainability in the agriculture supply chain (ASC). It identifies the key enablers for each of the three dimensions of TBL sustainability, analyses their causal relationships as well as cross-dimensional interactions under each TBL dimension. Further, it develops a decision support framework (DSF) for the assessment of TBL sustainability practices and policies in ASC and validates it through a case study. Design/methodology/approach: An interpretive structure modelling (ISM) methodology is deployed to establish the interrelationships among all TBL enablers and to identify the enablers with high driving power on sustainable ASC. Brainstorming by a group of experts was used to identify the relevant enables. Finally, a DSF was developed as a resultant of ISM. Findings: The paper provides a set of enablers with high driving power that can significantly influence the sustainability practices and policies in ASC. The social enablers directly help to enhance the effect of economic enablers and collectively these enhance the effect of environmental enablers. If agriculture firms and supply chains design innovative policies and develop practices based on these enablers, they can achieve sustainable ASC. Consequently, the living standards of the people directly or indirectly associated with the agriculture firm or supply chain can be improved without compromising on economic performance. Research limitations/implications: The paper consolidates the fragmented knowledge of sustainable supply chain management in the agriculture sector and suggests a DSF to policymakers, managers and practitioners for assessing TBL sustainability practices and policies. The DSF has wide applicability in other sectors of production and operations management as these sectors also face the challenge of achieving TBL sustainability across their supply chain. Practical implications: The DSF, developed in the paper, is a useful tool for practitioners to frame and analyse sustainability initiatives and policies for ASC. A firm or supply chain may achieve TBL sustainability if it succeeds in uplifting the social status of its stakeholders. Social implications: It is a first step towards addressing the practical challenge of integrating sustainability in the agriculture sector of emerging economies and provides a path to improve the livelihood of people in the agriculture sector. Stakeholder engagement with a focus on collaboration and awareness may lead to the desired social and environmental consequences. Potential adverse social effects also need to be considered. Originality/value: This paper focusses on the so far rather neglected but essential aspect of integrating TBL sustainability in the agriculture sector of emerging economies. The hierarchal representation and classification of the TBL sustainability enablers of sustainability is a unique effort in the field of ASC. Development of DSF is one of the first attempts to create a mapping between various enablers of TBL sustainability. The novelty of the study lies in the sector-specific, holistic evaluation of TBL sustainability policy measures that may lead to improvements in practice.","Singh S., Srivastava S.K.",Decision support framework for integrating triple bottom line (TBL) sustainability in agriculture supply chain,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118970167&doi=10.1108%2fSAMPJ-07-2021-0264&partnerID=40&md5=95d22030e79e6d0948e698eb6a4f890e
International Journal of Productivity and Performance Management,"Purpose: This paper aims to address the supplier selection problem based on a developed framework capturing the essence of the supply chain operations reference (SCOR) model, sustainability and providing services to customers. Specifically, the authors consider planning, manufacturing, delivery, sustainability and customer service attributes to evaluate and select suppliers. Design/methodology/approach: Relevant literature is reviewed, a framework capturing the essence of major supply chain functions was developed and suitable measurement attributes were identified. An integrated fuzzy analytic hierarchy process and fuzzy technique for order performance by similarity to ideal solution method are employed to obtain the final ranking of the attributes and suppliers. The proposed methodology is illustrated through a real case of an Indian automobile company. Findings: The authors observed that planning, manufacturing, customer service, sustainability and delivery are preferred in decreasing order to select component suppliers for an automotive company. The impact of suppliers on planning and manufacturing is most important to consider while assessing suppliers. Interestingly, concerns about sustainability and delivery are the least cared factors when selecting suppliers. The top five criteria contain measures of operational efficiency rather than purchasing cost. Originality/value: This paper proposes and demonstrates a supplier selection framework harmonizing supply chain functions of the SCOR model, sustainability and customers service that adds a valuable wing to literature that expounds on the connection of purchasing strategy to corporate strategy. A case study in an automotive company throws unique and valuable managerial implications for purchasing and supply chain performance.","Meena P.L., Katiyar R., Kumar G.",Supplier performance and selection from sustainable supply chain performance perspective,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130101733&doi=10.1108%2fIJPPM-01-2022-0024&partnerID=40&md5=0f57297537d2eb0871ab4f8aa95fa4ec
International Journal of Operations and Production Management,"Purpose: This paper aims to adopt the strategy-structure-performance (SSP) framework to explore how proactive social strategy could motivate firms to collaborate with suppliers on social sustainability initiatives, and how such collaborative efforts could unlock a win-win opportunity for both noneconomic (social performance) and economic (operational performance) performance. Additionally, drawing on the tenets of the social exchange theory, the different moderating effects of distributive justice and procedural justice on the social collaboration-performance relationship are also examined. Design/methodology/approach: This study uses survey data collected from 215 manufacturing companies in China. The proposed hypotheses are tested using multiple linear regression models as well as the PROCESS macro within SPSS. Findings: The results suggest that (1) a proactive social strategy could motivate firms to collaborate with suppliers on joint social activities and (2) social collaboration with suppliers can have a significant positive effect on both social and operational performance. The moderation results suggest that distributive justice has a differential effect on the collaboration-performance link. Particularly, distributive justice strengthens the relationship between social collaboration and operational performance, while it weakens the relationship between social collaboration and social performance. Surprisingly, procedural justice did not have a significant moderating effect on the social collaboration-performance link. Originality/value: This paper extends the SSP framework to the social sustainability context by not only stressing the importance of proactivity in managing sustainability, but also revealing collaboration as a structural aspect that could achieve superior performance benefits. This study also contributes to sustainable supply chain literature by exploring the moderating roles of justice elements.","Lim J.J., Dai J., Paulraj A.",Collaboration as a structural aspect of proactive social sustainability: the differential moderating role of distributive and procedural justice,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138846352&doi=10.1108%2fIJOPM-06-2021-0402&partnerID=40&md5=a39c8ec1beac9e281e0871f6652c44cf
"Sustainability Accounting, Management and Policy Journal","Purpose: This paper aims to demonstrate methods that sustainability-conscious brands can use to include their primary producers in the measurement and reporting of the environment and sustainability performance of their supply chains. It explores three questions: How can farm businesses provide information required in sustainability reporting? What are the challenges and opportunities experienced in preparing and presenting the information? What future research and policy instruments might be needed to resolve these issues. Design/methodology/approach: This study identifies and describes methods to provide the farm-level information needed for environmental performance and sustainability reporting frameworks. It demonstrates them by compiling natural capital accounts and environmental performance information for two wool producers in the grassy woodland biome of Eastern Australia; the contrasting history and management of these producers would be expected to result in different environmental performances. Findings: The authors demonstrated an approach to NC accounting that is suitable for including primary producers in environmental performance reporting of supply chains and that can communicate whether individual producers are sustaining, improving or degrading their NC. Measurements suitable for informing farm management and for the estimation of supply chain performance can simultaneously produce information useful for aggregation to regional and national assessments. Practical implications: The methods used should assist sustainability-conscious supply chains to more accurately assess the environmental performance of their primary producers and to use these assessments in selective sourcing strategies to improve supply chain performance. Empirical measures of environmental performance and natural capital have the potential to enable evaluation of the effectiveness of sustainability accounting frameworks in inducing businesses to reduce their environmental impacts and improve the condition of the natural capital they depend on. Social implications: Two significant social implications exist for the inclusion of primary producers in the sustainability and environmental performance reporting of supply chains. Firstly, it presently takes considerable time and expense for producers to prepare this information. Governments and members of the supply chain should acknowledge the value of this information to their organisations and consider sharing some of the cost of its preparation with primary producers. Secondly, the “additionality” requirement commonly present in existing frameworks may perversely exclude already high-performing producers from being recognised. The methods proposed in this paper provide a way to resolve this. Originality/value: To the best of the authors’ knowledge, this research is the first to describe detailed methods of collecting data for natural capital accounting and environmental performance reporting for individual farms and the first to compile the information and present it in a manner coherent with the Kering EP&L and the UN SEEA EA. The authors believe that this will make a significant contribution to the development of fair and standardised ways of measuring individual farm performance and the performance of food, beverage and apparel supply chains.","Ogilvy S., O'Brien D., Lawrence R., Gardner M.",A natural capital accounting framework to communicate the environmental credentials of individual wool-producing businesses,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130300557&doi=10.1108%2fSAMPJ-06-2021-0191&partnerID=40&md5=d5378ff3629a7b74ff5d4d76442b6816
Supply Chain Management,"Purpose: This paper aims to develop frameworks to support implementation and competitive leveraging of distinct sustainable supply chain operations. This derives from conceptual definition of the dynamic capabilities required to support Hart’s (1995) natural-resource-based view resources in the supply chain. Design/methodology/approach: This conceptual study uses qualitative content analysis to extract capabilities from review and analysis of literature related to natural-resource-based view (NRBV) and sustainable supply chain management. Intercoder reliability assessments support conceptual development of such capabilities into dynamic capability frameworks. Findings: Specific interrelations between each NRBV resource and corresponding supply chain strategies are conceptualised. From this, capabilities are categorised to corresponding resources, dynamic capabilities activities and internal–external focus. This results in definition of 107 dynamic NRBV capabilities. Research limitations/implications: Contributions are threefold: distinct frameworks for competitive sustainable supply chain management is offered; the NRBV benefits from enhanced practical guidance via the definition of its dynamic capabilities, addressing the theory-practice gap; and understandings of dynamic capabilities and their role in both the NRBV sustainable supply chain management is advanced. Practical implications: This paper offers four frameworks to allow firms to tailor sustainability strategies to suit their needs and guide competitive leveraging. Definition of capabilities offers practical guidance to operationalise NRBV resources. Originality/value: This is the first holistic interpretation of NRBV capabilities and explicit application of dynamic capabilities. This forms the basis of a broader research agenda for the NRBV in sustainable supply chain management.","McDougall N., Wagner B., MacBryde J.",Leveraging competitiveness from sustainable operations: frameworks to understand the dynamic capabilities needed to realise NRBV supply chain strategies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100859172&doi=10.1108%2fSCM-11-2018-0393&partnerID=40&md5=5d651ae7529ef60d4a3497f108a632a7
International Journal of Productivity and Performance Management,"Purpose: This paper aims to evaluate the collaboration quality performance of sugar company Z and its stakeholders (farmers and distributors) by considering the sustainability aspects. This assessment shall be able to integrate qualitative and quantitative factors in the model, which is critical in sugar supply chains involving multi-stakeholders. Design/methodology/approach: Integration of quality function deployment (QFD), the fuzzy analytical network process (FANP) and the data envelopment analysis (DEA) is administered to assess the efficiency score of each stakeholder involved. The evaluation encompasses collaboration behaviour factors since the input of collaboration activities will result in sustainability aspects such as revenue, green house gas (GHG) emissions and social impact. The analysis has been conducted in two scenarios, those are the basic scenario by utilising original data and the extended scenario by using projection data. Findings: The result clarifies that the most influential behaviour factor in the collaboration activities is commitment (0.116), while the least important behaviour factors are power (0.008) and adaptation (0.008). Furthermore, by using the extended scenario, the overall efficiency for each benchmarking is higher compared to the condition before the improvement (basic scenario). Research limitations/implications: The result of this study is only relevant to the particular sugar supply chain and involving limited sustainability variables. Therefore, in a further study, more variables such as technical and financial aspects could be explored further in the assessment process. Practical implications: The result of this study is available for each stakeholder and can be fundamental for the constant improvement in sustainable supply chain (SSC) practices. It shows that an improvement of one stakeholder will positively impact the entire system. Social implications: Smallholders and sugarcane farmers will recognise the significance of collaboration behaviour. Thus, they can enhance their mutual benefits by using the existing resources. Originality/value: This paper arranges for a practical contribution by implementing advanced assessment methods in the sugar supply chain by taking into account the economic, environmental and social aspects. This comprehensive assessment process in the sugar supply chain is the novelty of this paper.","Dania W.A.P., Xing K., Amer Y.",The assessment of collaboration quality: a case of sugar supply chain in Indonesia,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097076297&doi=10.1108%2fIJPPM-11-2019-0527&partnerID=40&md5=238a664f387c3872c1eb5de5a8e86525
Management Decision,"Purpose: This paper aims to examine the mechanism of how circular economy practices (CEP) and circular economy entrepreneurship (CEE) promote sustainable supply chain management (SCM) and facilitate sustainable performance (SP) for small and medium-sized enterprises (SMEs) in the food value chain in emerging economy. In this context, this mechanism involves the mediating role of sustainable SCM in the relationship between CEP and SP. Simultaneously, it involves the moderating role of CEE in the link between CEP and sustainable SCM. Design/methodology/approach: The paper follows a quantitative approach. Based on systematic literature review on the field, the nexus amongst the constructs were proposed. The Smart partial least square (PLS) version 3.3.2 was employed to analyze structural equation modeling (SEM) to investigate the relationships between constructs and latent variables. There were 457 valid responses obtained from the survey participants, those are managers at senior and middle levels. The data collected was then used for quantitative analysis and assessment. Findings: The main finding of this study is twofold. First, it sheds light on how CEE associates in strengthening the influence of CEP on sustainable SCM. By this way, the better the CEE, the stronger the impact of the CEP on the sustainable SCM, leading to long-term sustainability. Second, it reveals how sustainable SCM mediates the link between CEP and SP. By this way, the better the CEP, the more the SCM is sustainable, ultimately leading to SP. This contribution is paramount because experimental research on this mechanism has not been intensively explored in the current literature. Originality/value: The originality of this study is the provision of scientific knowledge and practical mechanisms for the introduction and application of CEP to business behaviors and practices in a real-world context that exists as a research gap in the current literature. In this respect, this study contributes to expanding the existing literature in the field by providing empirical evidence for the mechanism as stated. Furthermore, it provides a practical mechanism for SMEs in given context to enable them apply efficiently the circular economy perspective to their businesses to help them achieve SP. These contributions may be of interest to business practitioners, business leaders, academics and policymakers in the areas that are of their concerns.","Le T.T., Behl A., Pereira V.",Establishing linkages between circular economy practices and sustainable performance: the moderating role of circular economy entrepreneurship,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131916126&doi=10.1108%2fMD-02-2022-0150&partnerID=40&md5=8c3e2e7f1728640d0446ad9799ed8138
Journal of Knowledge Management,"Purpose: This paper aims to examine the performance of marginalized farmers in supply relationships with agri-tech firms in emerging rural agricultural economies. The complex relationship among the suppliers, dual relationship and knowledge transfer (KT) was studied. This paper empirically investigates the relationship between KT and supplier’s performance improvement (SPI) via buyer–supplier relationship (BSR). Design/methodology/approach: Grounded on agency theory, a conceptual framework has been proposed to identify the mediation effect of BSR. The context deals with suppliers who are farmers in developing nations. The hypotheses were tested using confirmatory factor analysis and structural equation with a sample of 121 marginalized farmers from Indian states. The data was collected using a survey instrument designed by adapting the well-cited and validated measures. These marginalized farmers worked in collaboration with the agri-tech firms facilitating them with the KT. Findings: The relationships established from the results also indicate the fact that KT is a powerful tool to make connections with farmers that lead to their performance improvement. The KT was found as a driver to improve performance (SPI) and the BSR acted as a positive mediator in this study. The complex relationships among the KT, BSR and SPI hold. Research limitations/implications: This paper can be subscribed to various nuanced understandings of the agricultural supply chain context in emerging economies, in the specialized cases where farmers belong to the marginalized communities. This study has the scope to replicate using a mixed-method approach in emerging economies beyond India. It also advances the agency theory literature in the supply chain discipline of emerging rural economies. Practical implications: This study offers strategic implications for agri-tech practitioners, policymakers and academic debate. The marginalized farmers with KT and improved BSR can become a part of the mainstream value chain, their debts can be reduced, suicides can be prevented and the quality of their family life can be significantly improved. Originality/value: This study makes a unique contribution by investigating how the agri-tech firms (non-traditional buyer) and supplier relationship and KT helps improve the economic sustainability of smallholder farmers in India. The authors immersed themselves in fieldwork by interacting and meeting in person with 121 farmers residing in the remotest of the remote rural areas across multiple states of India. This resulted in the collection of authentic data and capturing the ground realities from one of the fastest-growing and largest emerging economies.","Shukla S., Kapoor R., Gupta N., Arunachalam D.","Knowledge transfer, buyer-supplier relationship and supplier performance in agricultural supply chain: an agency theory perspective",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131555450&doi=10.1108%2fJKM-07-2021-0514&partnerID=40&md5=9ae9a0ea2fb4bbd4a2ae133b62272a96
Meditari Accountancy Research,"Purpose: This paper aims to examine the role of social auditing in legitimising the relationship between the buyer and supplier firms rather than strengthening corporate accountability in the global supply chain. Design/methodology/approach: Applying case study methodology and drawing on Suchman’s theory on societal legitimacy, it is argued that social audits are artefacts of legitimacy, and global firms dominate the buyer–supplier relationship across the supply chain. The analysis is based on data collected from different secondary sources, including Walmart’s corporate sustainability reports. Findings: Using Walmart’s relationship with Tazreen Fashions Limited around the Tazreen factory fire incident as a case study, it explains that the practices which attempt to symbolically demonstrate accountability from social audits need to shift to a more continuous and sincere demonstration of accountability through the social audit process. For this to occur, the cognitive and pragmatic approaches that international buyers have previously used in auditing their supply firms’ social responsibility are no longer sufficient to achieve societal legitimacy. Instead, a moral turn needs to underpin the intentions and actions of these buyers to maintain legitimacy and demonstrate accountability across the supply industry in developing economies. Originality/value: The findings of the study answer the questions raised in the extant literature about the expectation from social auditing and whether social auditing serves to ensure corporate accountability. The paper contributes to the policymaking discussion of how social auditing can be configured to include a legal provision to ensure that social auditing is not a parroting tool for corporations.","Rahim M.M., Kuruppu S.C., Islam M.T.",Social auditing in the supply chain: business legitimisation strategy rather than a change agent,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139134426&doi=10.1108%2fMEDAR-06-2021-1322&partnerID=40&md5=3101ec9f0141b13f7f94bc1571f9a8f6
Multinational Business Review,"Purpose: This paper aims to examine the state of research on environmental, social and governance (ESG) performance in the context of multinational business research. This paper discusses research progress as well as various issues and complexities associated with using ESG ratings in cross-country studies and for assessing the performance of multinational enterprises (MNE) and emerging market multinationals (EMNEs). Design/methodology/approach: The paper identifies emerging literature that focuses on tracking the development and uptake of ESG ratings in the international context. It discusses three emerging research streams: Research examining the ESG-financial performance relationship in emerging markets, research tracking the ESG performance of multinationals in the various countries and regions they are operating, and frameworks for assessing ESG-related risks on a country level. Findings: While the emerging body of work adds an important dimension to the identification and awareness of ESG issues globally, numerous unresolved issues become evident. ESG frameworks have been built to assess corporate sustainability as it relates to firms in their “home” countries (typically with a focus on developed countries), with limited applicability and transferability to emerging markets. International firm activities are often not captured in detail and not comprehensively mapped across firm subsidiaries and a firm’s corporate supply chain where ESG issues are prone to happen, and ESG scores do not comprehensively integrate views and voices from various local stakeholders that are impacted by firm activities, particularly indigenous communities. Research limitations/implications: Research on ESG ratings in the context of multinational business research is generally sparse and fragmented, thus creating opportunities for future research to expand on existing and emerging findings. Practical implications: The paper creates awareness of issues to consider when using ESG ratings in cross-country studies and for assessing the ESG performance of MNEs and EMNEs: ESG scores can be subject to bias and are not weighted by materiality, which can be misleading for portfolio construction and performance measurement purposes. Managers need to be aware that ESG scores are often not capturing ESG issues occurring in supply chains and ESG issues affecting local communities. Originality/value: This study enriches the understanding of ESG in the context of multinational business research practice.",Linnenluecke M.K.,"Environmental, social and governance (ESG) performance in the context of multinational business research",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124371048&doi=10.1108%2fMBR-11-2021-0148&partnerID=40&md5=15abb951a1bd530b4e39543f4e28c994
International Journal of Quality and Reliability Management,"Purpose: This paper aims to explore the drivers of sustainable healthcare supply chain (SHCSC) performance measurement through extensive literature review and experts' opinions. The drivers are then scrutinized and their priority vector is calculated to provide quality and cost-effective healthcare supply chain (HCSC) services. Design/methodology/approach: The drivers of the SHCSC performance measurement are validated using the grey-Delphi technique. After validating the drivers, they are prioritized using the grey-analytic hierarchy process (G-AHP), a multi-criteria decision-making tool. Findings: The findings of the study highlight the prioritized drivers based on the preferences given by the experts. The findings of the study highlight the most prioritized drivers of healthcare (HC) by-product management system, coordinating and facilitating green suppliers in the HCSC and green packaging of pharmaceutical as well as other essential items. Practical implications: The HCSC managers should coordinate with all the stakeholders across the supply chain and involve them in the decision-making process to make products and services greener and become complicit in complying with the sustainable policy guidelines. The study highlights the strategic policy and managerial implications for implementing sustainability in the HCSC. Originality/value: The validation and prioritization of the drivers of SHCSC in developing nations' contexts is the key contribution of the study. Grey-AHP enables a practical approach towards enhancing the sustainability of the HCSC and opening the doors for generalizing the study for future research works.","Hossain M.K., Thakur V.",Drivers of sustainable healthcare supply chain performance: multi-criteria decision-making approach under grey environment,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116112180&doi=10.1108%2fIJQRM-03-2021-0075&partnerID=40&md5=122b87e56465db45b6e712656466b29a
Kybernetes,"Purpose: This paper aims to find the impact of blockchain supply chain on supply chain performance with a mediating role of supplier trust, traceability and transparency. Design/methodology/approach: Data was collected using the purposive sampling technique on a five-point Likert scale from 150 respondents. For data analysis, IBM SPSS and Smart PLS 3.3.7 were used to test the hypotheses by evaluating the structural equation modeling. Findings: The blockchain supply chain found a significant effect on supply chain performance. Moreover, there is a substantial effect of the blockchain supply chain on supply chain performance via mediators, including supplier trust, supply chain traceability and supply chain transparency. Further, the mediation type of all mediators was full mediation in the relationships between blockchain supply chain and supply chain performance. Research limitations/implications: The research findings are helpful for industrialists, supply chain practitioners and policymakers. The practitioners can adopt blockchain technology to enhance inter-organizational collaboration, develop trust, data visibility and traceability, and critical decisions, ultimately bringing sustainable growth for the firm. Originality/value: The outcomes of this research enrich the literature and share the impact of one of the most trending technologies in the supply chain perspective. Future research can empirically test the relationship between blockchain and supply chain sustainability.","Rashid A., Baber Ali S., Rasheed R., Amirah N.A., Ngah A.H.",A paradigm of blockchain and supply chain performance: a mediated model using structural equation modeling,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136884993&doi=10.1108%2fK-04-2022-0543&partnerID=40&md5=bbfae3403d52abddd4c5f99273410c4a
Benchmarking,"Purpose: This paper aims to identify the current research trends in sustainability through an extensive literature review and propose future research agenda under the ambit of the ongoing coronavirus disease 2019 (COVID-19) pandemic. Specifically, the present study aims to uncover the current state of the literature and thereby develop an understanding of how the pandemic has impacted the dimensions of sustainability. Design/methodology/approach: To achieve the objective, the authors adopted a five-step literature review process, combined with bibliometric and network analysis. The authors also considered news articles and reports of international organizations to comprehensively achieve the research objective. Findings: The study results show how the pandemic has impacted the social, economic and environmental dimensions of sustainability. The results also highlight the list of authors, countries and institutions that have proactively worked towards eliminating the disruption caused by the COVID-19 pandemic. Research limitations/implications: The study provides an in-depth understanding of the scholarly contributions to the field of sustainability since the COVID-19 outbreak. The study is useful for policymakers and businesses interested in understanding how the pandemic has impacted the dimensions of sustainability and possible mitigation strategies. Furthermore, the study also provides future research directions in the intersection of pandemic and sustainability dimensions. Specific research questions (RQs) are also proposed to help future research. Originality/value: To the best of the authors' knowledge, this study is a pioneer attempt to provide a comprehensive understanding of the existing and rapidly growing literature on COVID-19 and its relationship with the various dimensions of sustainability.","Devi Y., Srivastava A.",Addressing sustainability during and post-COVID-19 pandemic crisis: a literature review and bibliometric analysis to explore the future avenues,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136860519&doi=10.1108%2fBIJ-04-2021-0223&partnerID=40&md5=db9f671c5bd7f37457a5cd3954136b43
Journal of Modelling in Management,"Purpose: This paper aims to identify the role of internet of things (IoT) in water supply chain management and helps to understand its future path from the junction of computer science and resource management. Design/methodology/approach: The current research was studied through bibliometric review and content analysis, and various contributors and linkages were found. Also, the possible directions and implications of the field were analyzed. Findings: The paper’s key findings include the role of modern computer science in water resource management through sensor technology, big data analytics, IoT, machine learning and cloud computing. This, in turn, helps in understanding future implications of IoT resource management. Research limitations/implications: A more extensive database can add up to more combinations of linkages and ideas about the future direction. The implications and understanding gained by the research can be used by governments and firms dealing with water management of smart cities. It can also help find ways for optimizing water resources using IoT and modern-day computer science. Originality/value: This study is one of the very few investigations that highlighted IoT’s role in water supply management. Thus, this study helps to assess the scope and the trend of the case area.","Velani A.F., Narwane V.S., Gardas B.B.",Contribution of Internet of things in water supply chain management: A bibliometric and content analysis,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125087556&doi=10.1108%2fJM2-04-2021-0090&partnerID=40&md5=a074c28accd15e6298007845035c8326
